Ticker,Emisor,Ley,Moneda de Pago,Precio,TIR,TNA SA,Modified Duration,Duration,Convexidad,Paridad,Current Yield,Calificación,Próxima Fecha de Pago,Fecha de Vencimiento
GYC4D,360 ENERGY,ARG,MEP,89.8,14.6,14.1,1.8,1.9,3.9,89.7,8.9,A,2026-04-30,2027-10-30
GYC5D,360 ENERGY,ARG,MEP,,,,,,,,,A,2026-03-05,2027-09-05
AERBD,AEROPUERTOS ARGENTINA,ARG,MEP,102.5,5.3,5.2,1.1,1.1,1.6,100.3,5.4,AA+,2025-12-15,2026-12-15
LMS7D,ALUAR,ARG,MEP,104.2,-0.9,-0.9,1.5,1.5,3.4,112.4,6.2,AAA,2026-01-12,2028-10-12
LMS8D,ALUAR,ARG,MEP,103,4,4,1,1,1.2,102.2,6.1,AAA,2025-12-21,2027-03-21
LMS9D,ALUAR,ARG,CCL,104.5,-0,0,0.6,0.6,0.5,103.6,5.7,AAA,2025-12-13,2026-06-13
RC1CD,ARCOR,NY,CCL,107.2,6.6,6.5,5.1,5.3,33.7,105.1,7.1,AAA,2026-01-31,2033-07-31
RC2CD,ARCOR,ARG,MEP,104.7,1.2,1.2,0.9,0.9,1.3,104.2,5.6,AAA,2026-04-06,2026-10-06
RCCJD,ARCOR,ARG,CCL,,,,,,,,,AAA,2026-04-09,2027-10-09
RCCMD,ARCOR,ARG,MEP,102.7,-17.4,-18.2,0,0,0,101.1,3.4,AAA,2025-11-22,2025-11-22
RCCRD,ARCOR,ARG,MEP,104.5,6,5.9,1.4,1.4,2.6,101.2,6.5,AAA,2025-11-09,2027-05-09
BF35D,BBVA,ARG,MEP,103.5,3.9,3.9,0.6,0.6,0.6,101,5.6,AAA,2025-12-03,2026-06-03
BF37D,BBVA,ARG,MEP,102,5,4.9,0.8,0.8,1,100.8,5.9,AAA,2026-02-22,2026-08-22
CAC8D,CAPEX,ARG,MEP,100.5,6.2,6.1,0.6,0.6,0.6,99.9,5.9,AA,2025-12-29,2026-06-29
ZZC1D,Camuzzi Gas Pampeana,ARG,MEP,102.2,7.6,7.5,1.2,1.2,2,100.5,7.8,A+,2026-02-21,2027-02-21
NPCAD,CEPU,ARG,CCL,102.5,2.7,2.7,0.4,0.4,0.3,101.5,6.8,AA,2026-03-14,2026-03-14
CS38D,CRESUD,ARG,MEP,104.2,-0.5,-0.5,0.3,0.3,0.3,102.8,7.7,AAA,2026-03-03,2026-03-03
CS44D,CRESUD,ARG,MEP,101.5,6.3,6.2,1.2,1.2,1.8,99.7,5.9,AAA,2026-01-17,2027-01-17
CS47D,CRESUD,ARG,MEP,103.5,7,6.9,2.6,2.7,8.6,100.2,6.8,AAA,2025-11-15,2028-11-15
DNC8D,EDENOR,ARG,CCL,101.5,9.5,9.3,0.7,0.7,0.8,99.5,8.4,A,2026-02-07,2026-08-07
DNC3D,EDENOR,ARG,MEP,105.7,8.6,8.4,1,1,1.4,101.2,9.2,A,2025-11-22,2026-11-22
DNC5D,EDENOR,ARG,MEP,102.6,9.6,9.4,2.3,2.4,6.9,100.2,9.3,A,2026-02-05,2028-08-05
DNC7D,EDENOR,NY,CCL,102.9,9.2,9,3.3,3.4,13.4,102.6,9.5,A,2026-04-24,2030-10-24
GNCXD,GENNEIA,NY,CCL,41.5,6.5,6.4,1,1,1.8,102.3,8.4,AA+,2026-03-02,2027-09-02
GN48D,GENNEIA,ARG,MEP,99.1,7.6,7.5,2.1,2.2,5.6,98,6.6,AA+,2026-03-05,2028-03-05
GN47D,GENNEIA,ARG,MEP,97,7.4,7.3,2.6,2.7,8.6,96.7,6.2,AA+,2026-04-17,2028-10-17
BYCHD,GALICIA,NY,CCL,106.3,5.7,5.6,2.6,2.7,8.4,105.7,7.3,AAA,2026-04-10,2028-10-10
BYCVD,GALICIA,ARG,MEP,102.5,4.5,4.5,0.8,0.8,1,101.3,6.1,AAA,2026-02-28,2026-08-31
BYCTD,GALICIA,ARG,MEP,,,,,,,,,AAA,2025-12-30,2025-12-30
BYCRD,GALICIA,ARG,CCL,,,,,,,,,AAA,2025-11-28,2025-11-28
HVS1D,HAVANNA,ARG,MEP,101.5,9.5,9.3,2.3,2.4,6.6,98.7,8.6,A+,2026-01-08,2028-07-08
HBCAD,HIPOTECARIO,ARG,MEP,,,,,,,,,AA-,2026-02-22,2026-08-22
IRCID,IRSA,ARG,MEP,102.5,-0.1,-0.1,0.1,0.1,0.1,100.5,4.9,AAA,2025-12-07,2025-12-07
IRCLD,IRSA,ARG,MEP,105,1.7,1.7,0.6,0.6,0.6,102.5,5.7,AAA,2025-12-10,2026-06-10
IRCJD,IRSA,ARG,MEP,102.6,6.1,6,1.3,1.3,2.1,101.3,6.8,AAA,2026-02-28,2027-02-28
IRCFD,IRSA,NY,CCL,72.3,4.1,4.1,1.7,1.7,4.2,107.8,7.9,AAA,2025-12-22,2028-06-22
IRCND,IRSA,ARG,MEP,100.8,5.5,5.4,1.8,1.9,4.3,100.6,5.7,AAA,2026-04-23,2027-10-23
IRCPD,IRSA,NY,CCL,104.5,0,0,6.2,6.2,50.6,103.7,7.7,AAA,2026-03-30,2035-03-31
IRCOD,IRSA,ARG,MEP,103,6.5,6.4,3.4,3.5,14.1,102.8,7,AAA,2026-04-23,2029-10-23
HJCFD,JOHN DEERE,ARG,MEP,102.5,2.6,2.6,0.9,0.9,1.3,102.3,4.9,AA,2026-04-21,2026-10-21
HJCGD,JOHN DEERE,ARG,MEP,100.5,6,5.9,2.7,2.8,8.8,100.3,6,AA,2026-04-21,2028-10-21
HJCHD,JOHN DEERE,ARG,MEP,101,7.7,7.6,1.9,2,5,98.9,6.9,AA,2026-01-17,2028-01-17
HJCID,JOHN DEERE,ARG,MEP,102.9,7.9,7.7,1.4,1.5,2.7,99.6,7.3,AA,2025-11-27,2027-05-27
HJCJD,JOHN DEERE,ARG,MEP,103.5,7.9,7.7,1.5,1.6,3.2,101.1,8.2,AA,2026-01-25,2027-07-25
LOC2D,LOMA,ARG,MEP,102.9,2.6,2.6,0.1,0.1,0.1,100.5,6.3,AAA,2025-12-21,2025-12-21
LOC3D,LOMA,ARG,MEP,101.8,5.6,5.5,0.3,0.3,0.3,100.7,7.4,AAA,2026-03-11,2026-03-11
LOC5D,LOMA,ARG,MEP,104,7,6.9,1.5,1.6,3.3,101.7,7.7,AAA,2026-01-24,2027-07-24
BACGD,MACRO,NY,CCL,106.5,7,6.9,3,3.1,11.6,103.5,7.5,AA+,2025-12-23,2029-06-23
RUCAD,MSU ENERGY,ARG,MEP,99,15.5,14.9,0.3,0.3,0.3,97.8,8.3,A+,2026-03-12,2026-03-12
RUCDD,MSU ENERGY,NY,CCL,99.2,11.4,11.1,3.4,3.6,15.4,95.3,9.8,A+,2025-12-05,2030-12-05
MSSED,MSU,ARG,MEP,98.5,12.2,11.8,0.7,0.7,0.7,96.6,6.6,A+,2026-01-17,2026-07-17
MSSFD,MSU,ARG,MEP,84.4,21.2,20.2,1.4,1.6,2.8,82.6,8.9,A+,2026-01-23,2027-07-23
PN38D,PAE,ARG,MEP,102.5,6,5.9,1.7,1.7,3.5,101,6.3,AAA,2026-02-11,2027-08-11
PN35D,PAE,ARG,MEP,101.2,7,6.9,3.4,3.5,13.6,100.5,6.9,AAA,2026-03-27,2029-09-27
PN34D,PAE,ARG,MEP,101.3,4.6,4.5,1.8,1.8,4.1,100.7,4.9,AAA,2026-03-27,2027-09-27
PN36D,PAE,ARG,MEP,106.4,6.7,6.6,4.6,4.8,27.7,102.9,6.8,AAA,2025-11-13,2031-11-13
PN37D,PAE,ARG,MEP,102.7,6.4,6.3,2.6,2.7,8.8,99.7,6.1,AAA,2025-11-13,2028-11-13
PNDCD,PAE,ARG,MEP,64.8,1,1,1,1,1.6,107.9,8.4,AAA,2026-04-30,2027-04-30
PNXCD,PAE,ARG,MEP,109.5,6.5,6.4,4.4,4.5,24.2,109.4,7.8,AAA,2026-04-30,2032-04-30
MGCND,PAMPA,ARG,MEP,102.5,5.1,5,2.6,2.7,8.6,102,5.6,AAA,2026-04-04,2028-10-04
MGCHD,PAMPA,ARG,MEP,,,,,,,,,AAA,,2025-11-04
MGCMD,PAMPA,NY,CCL,108.5,6.5,6.4,4.6,4.8,26.5,107.2,7.3,AAA,2026-03-10,2031-09-10
MGCOD,PAMPA,NY,CCL,106.5,7.5,7.4,6.3,6.5,51.9,103.4,7.4,AAA,2025-12-16,2034-12-16
MGC9D,PAMPA,NY,CCL,71.9,3.5,3.5,0.6,0.6,0.8,103.4,8.8,AAA,2025-12-08,2026-12-08
PQCRD,Petroquímica Comodoro Rivadavia,ARG,MEP,91.5,10.5,10.2,2.6,2.7,8.2,91.2,7.4,AA,2026-04-22,2028-10-22
PQCTD,Petroquímica Comodoro Rivadavia,ARG,MEP,,,,,,,,,AA,2026-01-21,2028-07-21
PQCSD,Petroquímica Comodoro Rivadavia,ARG,MEP,94.4,10,9.8,4.1,4.3,21,92.8,8.5,AA,2026-02-17,2031-02-17
PLC4D,PLUSPETROL,NY,CCL,108.3,7.7,7.6,4.8,5,30.2,104.5,7.8,AAA,2025-11-30,2032-05-30
T641D,TARJETA NARANJA,ARG,MEP,102.5,6.3,6.2,1.4,1.4,2.3,102.4,7.7,AA,2026-01-30,2027-04-30
TN63D,TARJETA NARANJA,ARG,MEP,51.2,-10.5,-10.8,0.1,0.1,0,101.1,6.1,AA,2025-11-28,2025-11-28
TTC7D,TECPETROL,ARG,MEP,102.8,0.4,0.4,0.5,0.5,0.4,102.6,5.8,AAA,2026-04-22,2026-04-22
TTC9D,TECPETROL,ARG,MEP,101.5,6.5,6.4,3.4,3.5,14.3,101.3,6.7,AAA,2026-04-24,2029-10-24
TTC8D,TECPETROL,ARG,MEP,100.8,4.7,4.6,1.9,1.9,4.4,100.6,5,AAA,2026-04-24,2027-10-24
TTCAD,TECPETROL,NY,CCL,106,7,6.9,4.8,5,29.4,103.8,7.2,AAA,2026-01-22,2033-01-22
TLC1D,TELECOM,NY,CCL,104.2,5.4,5.3,0.7,0.7,0.8,101.8,7.7,AAA,2026-01-18,2026-07-18
TLCQD,TELECOM,ARG,MEP,103.5,5.9,5.8,1.6,1.6,2.8,102.8,7.2,AA+,2026-01-02,2027-07-02
TLCOD,TELECOM,ARG,MEP,102,7.5,7.4,2.6,2.7,8.8,99,6.9,AA+,2025-11-28,2028-11-28
TLCMD,TELECOM,NY,CCL,109,8,7.8,3.7,3.8,17.6,106.1,8.7,AA+,2026-01-18,2031-07-18
TLCPD,TELECOM,NY,CCL,108.2,8.9,8.7,4.9,5.1,32.1,103.9,8.8,AA+,2025-11-28,2033-05-28
TSC3D,TGS,NY,CCL,109.3,7.1,7,4.4,4.6,24.7,106.8,7.8,A+,2026-01-24,2031-07-24
BPCPD,SUPERVIELLE,ARG,MEP,,,,,,,,,Sin Califiación,2025-11-26,2025-11-26
BPCSD,SUPERVIELLE,ARG,MEP,,,,,,,,,Sin Califiación,2026-02-26,2026-08-26
VSCPD,VISTA,ARG,MEP,108.1,4.9,4.8,2.4,2.5,7.8,108.1,7.4,AAA,2026-05-03,2029-05-03
VSCUD,VISTA,ARG,MEP,106.3,6.2,6.1,3.7,3.8,16.3,105,7.1,AAA,2026-03-07,2030-03-07
VSCRD,VISTA,ARG,MEP,106.7,6.3,6.2,4.1,4.2,20.7,106.2,7.2,AAA,2026-04-10,2031-10-10
VSCVD,VISTA,ARG,MEP,110.3,6.4,6.3,5.6,5.8,40.6,107.1,6.8,AAA,2025-12-10,2033-06-10
VSCTD,VISTA,NY,CCL,105.5,7.4,7.3,6.3,6.5,52.5,102.3,7.2,AAA,2025-12-10,2035-12-10
YFC2D,YPF LUZ,NY,CCL,,,,,,,,,AAA,2026-01-25,2026-07-25
YFCGD,YPF LUZ,ARG,MEP,102.3,5.1,5,1.3,1.3,2.2,101.1,5.9,AAA,2026-02-27,2027-02-27
YFCID,YPF LUZ,ARG,MEP,102.9,4.6,4.5,1.4,1.4,2.4,102,5.8,AAA,2025-12-13,2027-06-13
YFCJD,YPF LUZ,NY,CCL,103,7.5,7.4,4.6,4.8,27.4,102.5,7.6,AAA,2026-04-16,2032-10-16
YFCKD,YPF LUZ,ARG,MEP,101.4,6.4,6.3,1,1,1.5,99,5.2,AAA,2025-11-22,2026-11-22
YFCLD,YPF LUZ,ARG,MEP,101.5,6.9,6.8,2.7,2.7,8.5,100.1,6.6,AAA,2025-11-22,2028-11-22
YFCMD,YPF LUZ,ARG,MEP,102.9,5.6,5.5,1.5,1.5,2.5,101.5,6.3,AAA,2025-11-20,2027-05-20
YMCQD,YPF,ARG,MEP,102.4,0.3,0.3,0.3,0.3,0.2,101.3,4.9,AAA,2026-02-13,2026-02-13
YMCVD,YPF,ARG,MEP,102,7.3,7.2,0.5,0.5,0.5,99.4,5.9,AAA,2025-11-28,2026-05-28
YM35D,YPF,ARG,MEP,102.4,5.4,5.3,1.3,1.3,2.2,101.2,6.1,AAA,2026-02-27,2027-02-27
YM37D,YPF,ARG,MEP,103,6.3,6.2,1.4,1.4,2.4,101.2,6.8,AAA,2025-11-07,2027-05-07
YM38D,YPF,ARG,MEP,102,6.6,6.5,1.6,1.6,3,101.7,7.4,AAA,2026-01-22,2027-07-22
YMCID,YPF,NY,CCL,107.4,6.9,6.8,1.8,1.9,5.4,104.2,8.4,AAA,2025-12-30,2029-06-30
YMCYD,YPF,ARG,MEP,99.2,7.1,7,2.6,2.7,8.4,98.7,6.6,AAA,2026-04-10,2028-10-10
YM39D,YPF,ARG,MEP,106.8,7.8,7.7,3.8,3.9,17.7,104.2,8.2,AAA,2026-01-22,2030-07-22
YM41D,YPF,ARG,MEP,100.4,6.6,6.5,1.3,1.3,1.9,99.5,6,AAA,2025-12-08,2027-03-08
YMCXD,YPF,NY,CCL,106.7,-5.9,-6,5.5,5.3,33,106.7,8.2,AAA,2030-03-11,2031-09-11
YM34D,YPF,NY,CCL,105.2,7.9,7.7,5.3,5.5,35.7,102.7,7.8,AAA,2026-01-17,2034-01-17
YMCJD,YPF,NY,CCL,99.1,7.4,7.3,5,5.2,31.6,98.4,7.1,AAA,2026-03-30,2033-09-30
GD29,Tesoro Nacional,NY,CCL,68.8,9.8,9.6,1.7,1.8,4.9,85.8,1.2,CCC-,2026-01-09,2029-07-09
GD30,Tesoro Nacional,NY,CCL,66.2,10.1,9.9,2.1,2.2,7.3,82.6,0.9,CCC-,2026-01-09,2030-07-09
GD35,Tesoro Nacional,NY,CCL,72.5,10.8,10.5,5.6,5.9,39.8,71.6,5.7,CCC-,2026-01-09,2035-07-09
GD38,Tesoro Nacional,NY,CCL,76,10.9,10.6,4.8,5.1,34.5,74.8,6.6,CCC-,2026-01-09,2038-01-09
GD41,Tesoro Nacional,NY,CCL,67.2,10.8,10.5,6,6.3,52.3,66.4,5.2,CCC-,2026-01-09,2041-07-09
GD46,Tesoro Nacional,NY,CCL,68.1,10.2,10,6,6.3,61.6,70.4,5.8,CCC-,2026-01-09,2046-07-09
AL29,Tesoro Nacional,ARG,MEP,66.4,12,11.7,1.7,1.8,4.7,82.7,1.2,CCC-,2026-01-09,2029-07-09
AL30,Tesoro Nacional,ARG,MEP,63.6,12.1,11.8,2.1,2.2,7,79.4,0.9,CCC-,2026-01-09,2030-07-09
AL35,Tesoro Nacional,ARG,MEP,71.3,11.1,10.8,5.6,5.9,39.5,70.3,5.8,CCC-,2026-01-09,2035-07-09
AE38,Tesoro Nacional,ARG,MEP,73.3,11.7,11.4,4.7,5,33.4,72.2,6.8,CCC-,2026-01-09,2038-01-09
AL41,Tesoro Nacional,ARG,MEP,65.7,11.2,10.9,5.9,6.2,51.3,64.9,5.3,CCC-,2026-01-09,2041-07-09
BPBD7,BCRA,ARG,CCL/MEP,97.5,10.9,10.6,0.5,0.5,0.4,97.4,5.1,CCC-,2026-04-30,2026-04-30
BPC7D,BCRA,ARG,CCL/MEP,95.8,8.2,8,1.3,1.4,2.6,95.8,5.2,CCC-,2026-04-30,2027-04-30
BPD7D,BCRA,ARG,CCL/MEP,95.8,7.8,7.7,1.6,1.7,3.5,95.8,5.2,CCC-,2026-04-30,2027-10-30
BA7DD,Provincia Buenos Aires,NY,CCL/MEP,69.1,12,11.7,5.5,5.8,41,68.5,7.6,CCC-,2026-03-01,2037-09-01
BB7DD,Provincia Buenos Aires,NY,CCL/MEP,65.5,13.7,13.3,3.8,4.1,24.8,75.5,8.7,CCC-,2026-03-01,2037-09-01
BC7DD,Provincia Buenos Aires,NY,MEP,,,,,,,,,CCC-,2026-03-01,2037-09-01
BPY6D,BCRA,ARG,CCL/MEP,100.5,3.2,3.2,0.3,0.3,0.2,99.9,3,CCC-,2025-11-28,2026-05-31
